id,n24,rev24,revlast,elpsdm,ordfreq,ordcat
5001,5,186,18,24,1,6
5002,2,30,15,24,1,6
5003,24,362,30,24,1,7
5004,4,41,15,24,1,6
5005,5,59,18,24,1,6
5006,5,90,25,24,1,7
5007,2,30,20,24,1,6
5008,5,76,15,24,1,6
5009,7,64,20,23,1,6
5010,6,80,20,23,1,6
5011,17,187,12,23,1,5
5012,8,119,25,23,1,7
5013,5,63,20,23,1,6
5014,11,109,15,23,1,6
5015,12,187,25,23,1,7
5016,3,29,17,23,1,6
5017,11,143,20,23,1,6
5018,2,35,20,23,1,6
5019,9,110,15,23,1,6
5020,14,138,12,23,1,5
5021,7,84,20,23,1,6
5022,9,86,15,23,1,6
5023,5,69,19,23,1,6
5024,10,146,20,23,1,6
5025,2,40,20,23,1,6
5026,6,80,15,23,1,6
5027,11,123,16,23,1,6
5028,9,111,30,23,1,7
5029,3,29,15,23,1,6
5030,4,37,15,23,1,6
5031,7,81,16,23,1,6
5032,2,40,20,23,1,6
5033,11,141,15,23,1,6
5034,8,67,15,23,1,6
5035,2,53,30,23,1,7
5036,19,58,10,23,1,5
5037,2,32,17,23,1,6
5038,4,34,15,23,1,6
5039,4,66,25,23,1,7
5040,2,40,25,23,1,7
5041,20,170,13,23,1,5
5042,17,203,13,23,1,5
5043,17,257,18,23,1,6
5044,7,52,20,23,1,6
5045,4,27,18,23,1,6
5046,4,44,15,23,1,6
5047,16,442,50,23,1,7
5048,4,47,20,23,1,6
5049,7,151,18,23,1,6
5050,7,42,20,23,1,6
5051,11,97,17,23,1,6
5052,10,105,15,23,1,6
5053,5,76,20,23,1,6
5054,3,48,25,23,1,7
5055,4,43,15,23,1,6
5056,12,153,25,23,1,7
5057,40,290,10,23,2,5
5058,19,126,15,23,1,6
5059,15,147,20,23,1,6
5060,8,113,18,23,1,6
5061,12,117,14,23,1,5
5062,11,135,20,23,1,6
5063,7,220,35,23,1,7
5064,6,67,20,23,1,6
5065,6,91,20,23,1,6
5066,5,80,30,23,1,7
5067,23,286,14,23,1,5
5068,6,52,15,23,1,6
5069,11,180,20,23,1,6
5070,2,21,16,23,1,6
5071,2,45,25,23,1,7
5072,13,149,20,23,1,6
5073,2,45,25,23,1,7
5074,7,129,35,23,1,7
5075,2,25,15,23,1,6
5076,16,92,10,23,1,5
5077,2,32,17,23,1,6
5078,18,268,15,23,1,6
5079,20,106,10,23,1,5
5080,17,119,10,23,1,5
5081,4,60,15,23,1,6
5082,19,176,15,23,1,6
5083,2,25,15,23,1,6
5084,9,95,15,23,1,6
5085,10,165,26,23,1,7
5086,8,256,50,23,1,7
5087,4,54,17,23,1,6
5088,6,52,15,22,1,6
5089,8,99,16,22,1,6
5090,6,72,15,22,1,6
5091,9,110,15,22,1,6
5092,12,92,14,22,1,5
5093,2,30,20,22,1,6
5094,6,102,19,22,1,6
5095,12,143,18,22,1,6
5096,4,75,20,22,1,6
5097,7,76,15,22,1,6
5098,7,95,25,22,1,7
5099,10,75,14,22,1,5
5100,4,60,20,22,1,6
5101,5,100,25,22,1,7
5102,7,98,20,22,1,6
5103,3,25,15,22,1,6
5104,12,140,20,22,1,6
5105,3,45,20,22,1,6
5106,6,55,15,22,1,6
5107,6,52,15,22,1,6
5108,3,65,25,22,1,7
5109,11,191,27,22,1,7
5110,3,45,25,22,1,7
5111,14,930,102,22,1,7
5112,5,82,20,22,1,6
5113,10,153,15,22,1,6
5114,21,215,10,22,1,5
5115,8,165,25,22,1,7
5116,7,200,50,22,1,7
5117,34,531.83,20,22,1,6
5118,9,146,25,22,1,7
5119,5,63,15,22,1,6
5120,4,55,16,22,1,6
5121,3,28,16,22,1,6
5122,4,62,30,22,1,7
5123,9,121,17,22,1,6
5124,10,125,20,22,1,6
5125,4,60,18,22,1,6
5126,24,86,10,22,1,5
5127,7,180,25,22,1,7
5128,5,67,17,22,1,6
5129,6,91,14,22,2,6
5130,7,146,24,22,1,6
5131,25,233,12,22,1,5
5132,1,25,25,22,1,7
5133,3,79,37,22,1,7
5134,2,45,25,22,1,7
5135,2,45,25,22,1,7
5136,14,130,10,22,1,5
5137,5,44,20,22,1,6
5138,7,130,15,22,1,6
5139,5,75,20,22,1,6
5140,1,15,15,21,1,6
5141,2,160,80,21,1,7
5142,9,134,24,21,2,6
5143,11,82,8,21,2,5
5144,11,69,15,21,1,6
5145,8,84,15,21,1,6
5146,9,238,27,21,1,7
5147,4,123,36,21,1,7
5148,1,15,15,21,1,6
5149,7,78,18,21,1,6
5150,18,77,11,21,1,5
5151,20,109.07,5,21,4,4
5152,7,130,30,21,1,7
5153,2,30,15,21,1,6
5154,1,20,20,21,1,6
5155,18,158,10,21,1,5
5156,5,95,25,21,1,7
5157,1,15,15,21,1,6
5158,1,25,25,21,1,7
5159,1,30,30,21,1,7
5160,4,57,25,21,1,7
5161,6,70,15,21,1,6
5162,2,26,16,21,1,6
5163,5,50,20,21,1,6
5164,19,198,15,21,1,6
5165,7,63,15,21,1,6
5166,20,215,25,21,2,7
5167,2,26,16,21,1,6
5168,5,81,25,21,1,7
5169,2,50,25,21,1,7
5170,17,132,10,21,1,5
5171,10,238,31,21,1,7
5172,5,47,15,21,1,6
5173,6,90,20,21,1,6
5174,4,48,20,21,1,6
5175,2,40,20,21,2,6
5176,2,26,16,21,1,6
5177,15,126,12,21,1,5
5178,11,110,12,21,2,5
5179,1,15,15,21,1,6
5180,5,95,25,21,1,7
5181,16,100,10,21,1,5
5182,10,84,17,21,1,6
5183,5,72,16,21,1,6
5184,12,135,10,21,3,5
5185,4,62,20,21,1,6
5186,9,165,25,21,1,7
5187,1,15,15,21,1,6
5188,14,265,35,21,1,7
5189,4,80,25,21,2,7
5190,2,40,20,21,1,6
5191,8,129,25,21,1,7
5192,14,139,10,21,2,6
5193,10,87,12,21,2,5
5194,7,54,15,21,1,6
5195,9,40,15,21,1,6
5196,13,85,6,21,3,4
5197,14,123,10,21,1,5
5198,2,33,20,21,1,6
5199,1,15,15,21,1,6
5200,2,25,20,21,1,6
5201,1,25,25,21,1,7
5202,1,15,15,21,1,6
5203,6,61,16,21,1,6
5204,8,207,31,21,1,7
5205,6,71,15,21,1,6
5206,10,85,25,21,1,7
5207,1,15,15,21,1,6
5208,2,25,20,21,1,6
5209,1,20,20,21,1,6
5210,9,83,15,21,1,6
5211,18,220,15,21,1,6
5212,5,68,20,21,1,6
5213,3,41,15,21,1,6
5214,1,15,15,21,1,6
5215,3,50,20,21,1,6
5216,11,136,15,21,1,6
5217,3,27,15,21,1,6
5218,1,20,20,21,1,6
5219,11,121,15,21,1,6
5220,3,45,15,21,2,6
5221,1,20,20,21,1,6
5222,17,104,10,21,1,5
5223,8,54,16,21,1,6
5224,2,20,15,21,1,6
5225,4,50,20,21,1,6
5226,10,99,10,21,2,5
5227,2,35,25,21,1,7
5228,3,46,20,21,1,6
5229,1,25,25,21,1,7
5230,2,30,20,21,1,6
5231,3,35,20,21,1,6
5232,10,174,10,21,2,5
5233,18,347,25,21,1,7
5234,6,39,15,21,1,6
5235,2,25,20,21,1,6
5236,3,40,15,21,1,6
5237,6,67,15,21,1,6
5238,1,30,30,21,1,7
5239,3,30,15,21,2,6
5240,2,50,25,21,1,7
5241,7,61,16,21,1,6
5242,8,110,16,21,1,6
5243,6,135,30,20,1,7
5244,4,57,20,20,2,6
5245,1,15,15,20,1,6
5246,1,25,25,20,1,7
5247,15,123,14,20,2,5
5248,7,81,15,20,1,6
5249,49,486,10,20,3,5
5250,18,137,10,20,1,5
5251,6,100,20,20,1,6
5252,31,184,6,20,3,4
5253,22,292,24,20,1,6
5254,1,15,15,20,1,6
5255,15,134,12,20,1,5
5256,4,42,15,20,1,6
5257,10,173,25,20,2,7
5258,16,182.31,10,20,1,5
5259,20,267,14,20,1,5
5260,5,61,15,20,2,6
5261,30,272,10,20,1,5
5262,15,170,10,20,2,5
5263,1,25,25,20,1,7
5264,31,399,20,20,4,7
5265,2,30,20,20,1,6
5266,12,128,12,20,2,5
5267,3,36,15,20,1,6
5268,1,25,25,20,1,7
5269,13,202,30,20,2,7
5270,24,145,5,20,2,5
5271,44,601,16,20,4,6
5272,4,48,6,20,2,6
5273,2,55,30,20,1,7
5274,20,151,14,20,2,5
5275,2,32,17,20,1,6
5276,6,72,20,20,1,6
5277,13,140,18,20,3,6
5278,10,146,20,20,1,6
5279,1,22,22,20,1,6
5280,7,91,15,20,3,7
5281,13,170,16,20,1,6
5282,2,40,20,20,1,6
5283,17,205,20,20,1,6
5284,7,155,20,20,1,6
5285,16,110,10,20,1,5
5286,6,175,50,20,1,7
5287,39,208,5,20,3,4
5288,2,50,25,20,1,7
5289,2,25,15,20,1,6
5290,4,47,25,20,1,7
5291,1,20,20,20,1,6
5292,11,117,17,20,2,6
5293,13,151,20,20,1,6
5294,1,15,15,20,1,6
5295,1,15,15,20,1,6
5296,1,20,20,20,1,6
5297,11,335,50,20,2,7
5298,1,20,20,20,1,6
5299,6,53,15,20,1,6
5300,20,142,10,20,3,5
5301,13,258,30,20,1,7
5302,38,129,3,20,3,4
5303,1,25,25,20,1,7
5304,11,166,19,20,1,6
5305,10,101.54,12,20,3,5
5306,1,25,25,20,1,7
5307,1,15,15,20,1,6
5308,12,151,20,20,1,6
5309,18,102,10,20,1,5
5310,4,39,16,20,1,6
5311,24,249,12,20,1,5
5312,36,173,33,20,2,7
5313,16,138,11,20,1,5
5314,9,163,28,20,1,7
5315,15,121,11,20,1,5
5316,12,155,14,20,1,5
5317,6,121,32,20,1,7
5318,4,55,15,20,2,6
5319,5,70,25,20,1,7
5320,1,20,20,20,1,6
5321,21,167,10,20,1,5
5322,2,25,20,20,1,6
5323,7,35,5,19,4,4
5324,14,145,15,19,1,6
5325,6,46,10,19,3,5
5326,12,191,15,19,1,6
5327,4,54,20,19,1,6
5328,13,176,16,19,3,6
5329,3,30,10,19,2,6
5330,12,119,11,19,2,5
5331,7,108,20,19,1,6
5332,11,169,40,19,1,7
5333,13,115,9,19,4,5
5334,16,154,20,19,1,6
5335,9,150,25,19,1,7
5336,10,128,14,19,3,6
5337,36,232,8,19,2,7
5338,5,43,10,19,3,5
5339,1,20,20,19,1,6
5340,17,70,5,19,4,4
5341,25,156,5,19,3,4
5342,7,167,50,19,2,7
5343,2,30,20,19,1,6
5344,4,33,15,19,2,6
5345,10,114,15,19,2,6
5346,6,67,15,19,1,6
5347,10,163,25,19,1,7
5348,2,43,20,19,1,6
5349,25,119,5,19,3,4
5350,6,67,15,19,1,6
5351,12,159,20,19,3,6
5352,5,36,18,19,1,6
5353,7,90,15,19,1,6
5354,17,106,8,19,3,4
5355,7,72,15,19,1,6
5356,10,88,10,19,2,6
5357,3,32,20,19,1,6
5358,21,157,12,19,2,5
5359,2,65,50,19,1,7
5360,6,100,20,19,3,6
5361,3,60,20,19,2,6
5362,3,32,15,19,2,6
5363,25,489,25,19,3,7
5364,7,52,10,19,3,5
5365,4,47,12,19,2,6
5366,14,99,12,19,1,5
5367,2,25,15,19,1,6
5368,5,76,20,19,2,6
5369,13,167,10,19,1,5
5370,4,50,20,19,1,6
5371,7,80,16,19,2,6
5372,7,158,26,19,2,7
5373,2,20,15,19,1,6
5374,3,60,20,19,2,6
5375,8,71,10,19,3,5
5376,5,81,25,19,3,7
5377,7,98,20,19,1,6
5378,8,118,20,19,2,6
5379,11,144,20,19,1,6
5380,1,23,23,18,1,6
5381,22,207,20,18,1,6
5382,19,171,11,18,2,5
5383,3,31,15,18,1,6
5384,1,15,15,18,1,6
5385,5,82,20,18,1,6
5386,3,30,15,18,1,6
5387,4,77,23,18,2,6
5388,13,191,25,18,1,7
5389,16,52,5,18,3,4
5390,5,70,20,18,1,6
5391,1,25,25,18,1,7
5392,9,72,10,18,3,5
5393,9,187,30,18,1,7
5394,3,30,15,18,1,6
5395,2,26,16,18,1,6
5396,2,40,20,18,1,6
5397,17,182,17,18,1,6
5398,3,45,20,18,1,6
5399,6,56,16,18,1,6
5400,2,25,15,18,1,6
5401,9,47,7,18,4,4
5402,2,26,16,18,1,6
5403,1,20,20,18,1,6
5404,7,27,5,18,4,4
5405,21,235,10,18,2,6
5406,5,80,20,18,2,6
5407,6,27,10,18,3,5
5408,15,206,20,18,1,6
5409,47,148,3,18,3,4
5410,14,319,10,18,2,6
5411,2,22,17,18,1,6
5412,3,55,25,18,1,7
5413,4,33,15,18,1,6
5414,11,54,5,18,4,4
5415,1,15,15,18,1,6
5416,12,323,100,18,4,7
5417,1,25,25,18,1,7
5418,13,67,7,18,4,4
5419,5,50,10,18,3,5
5420,1,25,25,18,1,7
5421,3,32,20,18,1,6
5422,11,100,10,18,2,5
5423,14,130,15,18,2,6
5424,5,72,25,18,1,7
5425,8,55,15,18,1,6
5426,15,210,21,18,2,6
5427,5,58,20,18,2,6
5428,1,15,15,18,1,6
5429,1,20,20,18,1,6
5430,15,121,16,18,1,6
5431,1,25,25,18,1,7
5432,2,32,22,18,1,6
5433,23,194,11,18,1,5
5434,1,20,20,18,1,6
5435,2,45,25,18,1,7
5436,2,45,25,18,1,7
5437,14,119,9,18,2,5
5438,2,25,15,18,2,6
5439,8,55,15,18,1,6
5440,3,45,20,18,1,6
5441,1,15,15,18,1,6
5442,1,15,15,18,1,6
5443,6,105,25,18,1,7
5444,1,16,16,18,1,6
5445,7,89,20,18,1,6
5446,10,91,15,18,3,6
5447,6,100,25,18,2,7
5448,6,41,10,18,3,5
5449,15,108,12,18,1,5
5450,12,139,15,18,1,6
5451,1,25,25,18,1,7
5452,1,25,25,18,1,7
5453,1,15,15,18,1,6
5454,9,99,17,18,1,6
5455,1,15,15,18,1,6
5456,10,112,10,18,2,5
5457,16,204,26,18,2,7
5458,2,26,16,18,1,6
5459,12,106,15,18,1,6
5460,3,55,25,18,1,7
5461,9,244,25,18,1,7
5462,2,50,25,18,1,7
5463,1,15,15,18,1,6
5464,6,74,15,18,3,6
5465,4,34,10,18,3,5
5466,5,120,30,18,1,7
5467,5,115,30,18,2,7
5468,10,175.5,32,18,2,7
5469,3,65,20,18,2,7
5470,4,61,21,18,2,6
5471,2,20,15,18,1,6
5472,1,15,15,18,1,6
5473,1,23,23,18,1,6
5474,1,20,20,18,1,6
5475,2,50,25,18,1,7
5476,1,15,15,18,1,6
5477,5,30,10,18,3,5
5478,25,243,10,18,4,5
5479,7,71,15,18,2,6
5480,13,144,16,18,1,6
5481,3,45,20,18,1,6
5482,10,69,10,18,3,5
5483,1,20,20,18,1,6
5484,2,30,15,18,2,6
5485,13,257,25,18,2,7
5486,1,20,20,18,1,6
5487,1,15,15,18,1,6
5488,3,41,25,18,1,7
5489,24,124,10,18,3,5
5490,15,128,10,18,2,5
5491,1,15,15,18,1,6
5492,3,53,17,18,2,6
5493,4,46,15,18,1,6
5494,4,52,13,18,3,6
5495,7,105,20,18,3,6
5496,3,34,18,18,1,6
5497,8,86,16,18,4,6
5498,9,52,8,18,4,5
5499,4,53,16,18,2,6
5500,3,60,25,18,1,7
5501,18,118,10,18,1,5
5502,2,40,25,18,1,7
5503,4,42,12,18,3,5
5504,25,108,8,18,4,4
5505,9,150,20,18,1,6
5506,11,104,12,18,2,5
5507,63,746,13,18,3,6
5508,7,46,15,18,1,6
5509,7,65,10,18,3,5
5510,10,97,13,18,2,5
5511,1,15,15,18,1,6
5512,6,190,36,18,1,7
5513,14,143,10,18,2,5
5514,2,32,17,18,2,6
5515,15,102.06,12,18,1,5
5516,7,103,17,18,1,6
5517,1,50,50,18,1,7
5518,5,120,20,18,1,6
5519,21,142,10,18,1,5
5520,1,15,15,18,1,6
5521,6,49,10,18,3,5
5522,11,149,25,18,1,7
5523,6,111,22,17,2,7
5524,6,99,26,17,2,7
5525,9,140,15,17,2,6
5526,6,61,9,17,4,5
5527,6,74,20,17,1,6
5528,5,98,20,17,1,6
5529,3,36,16,17,1,6
5530,14,108,12,17,1,5
5531,11,107,15,17,1,6
5532,34,226.25,25,17,1,7
5533,1,15,15,17,1,6
5534,10,123,16,17,1,6
5535,2,40,15,17,2,7
5536,32,172,5,17,3,4
5537,15,132,10,17,1,5
5538,1,15,15,17,1,6
5539,5,110,30,17,2,7
5540,11,72,7,17,4,5
5541,21,116.5,10,17,3,5
5542,32,618,36,17,2,7
5543,11,65,11,17,3,5
5544,5,57,12,17,4,5
5545,14,122,5,17,3,5
5546,4,52,15,17,2,6
5547,17,114,10,17,1,5
5548,1,15,15,17,1,6
5549,1,25,25,17,1,7
5550,2,22,17,17,1,6
5551,1,15,15,17,1,6
5552,2,28,18,17,2,6
5553,4,46,15,17,2,6
5554,5,69.05,15,17,2,6
5555,1,20,20,17,1,6
5556,9,155,20,17,2,6
5557,19,170,15,17,2,6
5558,5,90,25,17,1,7
5559,5,89,18,17,4,6
5560,1,15,15,17,1,6
5561,10,70,13,17,2,5
5562,5,52,20,17,1,6
5563,1,20,20,17,1,6
5564,12,61,20,17,1,6
5565,5,80,20,17,1,6
5566,2,40,15,17,2,7
5567,15,93,10,17,2,5
5568,36,92,2,17,4,4
5569,15,120,10,17,2,5
5570,1,25,25,17,1,7
5571,1,25,25,17,1,7
5572,1,20,20,17,1,6
5573,9,167,25,17,3,7
5574,1,15,15,17,1,6
5575,9,83.65,20,17,1,6
5576,5,85,15,17,1,6
5577,1,25,25,17,1,7
5578,5,81,25,17,1,7
5579,1,20,20,17,1,6
5580,6,74,17,17,1,6
5581,1,20,20,17,1,6
5582,1,20,20,17,1,6
5583,4,41,14,17,2,6
5584,14,101,12,17,2,5
5585,6,73,20,17,1,6
5586,17,214,20,17,1,6
5587,3,55,15,17,1,6
5588,19,169,13,17,1,5
5589,4,33,5,17,3,6
5590,6,62,18,17,1,6
5591,1,25,25,17,1,7
5592,23,148,6,17,3,4
5593,5,78,19,17,1,6
5594,1,25,25,17,1,7
5595,1,15,15,17,1,6
5596,1,25,25,17,1,7
5597,1,15,15,17,1,6
5598,10,136,15,17,3,6
5599,14,218,21,17,1,6
5600,6,46,10,17,3,5
5601,14,245,25,17,4,7
5602,3,31,15,17,1,6
5603,1,20,20,17,1,6
5604,27,880,50,17,1,7
5605,2,20,5,17,2,6
5606,1,23,23,17,1,6
5607,3,32,12,17,2,6
5608,2,25,15,17,1,6
5609,28,96,3,17,3,4
5610,10,129,15,17,2,6
5611,1,25,25,17,1,7
5612,3,60,20,17,1,6
5613,1,15,15,17,1,6
5614,1,15,15,17,1,6
5615,2,30,20,17,1,6
5616,16,110,5,17,3,4
5617,3,30,20,17,2,6
5618,1,25,25,17,1,7
5619,5,77,25,17,1,7
5620,13,73,7,17,2,5
5621,1,20,20,17,1,6
5622,1,15,15,17,1,6
5623,20,100,5,16,4,4
5624,13,65,6,16,4,4
5625,10,54,7,16,4,4
5626,10,77,10,16,4,5
5627,1,20,20,16,1,6
5628,16,128,12,16,1,5
5629,7,63,6,16,3,5
5630,22,131,5,16,3,5
5631,9,98,15,16,1,6
5632,6,48,5,16,3,5
5633,3,27,15,16,1,6
5634,35,104,5,16,3,4
5635,4,25,10,16,3,5
5636,6,100,20,16,4,6
5637,16,87,10,16,1,5
5638,4,34,15,16,1,6
5639,38,247,10,16,1,5
5640,3,20,5,16,3,5
5641,3,55,25,16,1,7
5642,12,107,15,16,3,6
5643,11,83,3,16,3,5
5644,3,30,15,16,1,6
5645,18,72,5,16,3,4
5646,8,45,7,16,4,4
5647,3,30,15,16,1,6
5648,33,152,5,16,4,4
5649,6,80,20,16,1,6
5650,10,55,8,16,3,5
5651,13,108,10,16,3,5
5652,3,46,20,16,1,6
5653,11,127,17,16,2,6
5654,16,89,7,16,3,6
5655,12,86,10,16,3,5
5656,5,62,20,16,1,6
5657,16,116,13,16,2,5
5658,1,20,20,16,1,6
5659,31,84,3,16,3,5
5660,15,124,5,16,3,5
5661,4,30,10,16,4,5
5662,5,165,100,16,1,7
5663,11,90,11,16,4,5
5664,12,205,25,16,2,7
